questName	rebelCollection	imperialCollection	neutralCollection
s	s	s	s
quest/gcw_construct_barricade	trader_construct_barricade_rebel	trader_construct_barricade_imperial	
quest/gcw_construct_patrol	trader_construct_patrol_point_rebel	trader_construct_patrol_point_imperial	
quest/gcw_construct_tower	trader_construct_tower_rebel	trader_construct_tower_imperial	
quest/gcw_construct_turret	trader_construct_turret_rebel	trader_construct_turret_imperial	
quest/gcw_construct_vehicle	trader_construct_vehicle_rebel	trader_construct_vehicle_imperial	
quest/gcw_construct_vehicle_boss	trader_construct_hailfire_rebel	trader_construct_at_at_imperial	
quest/gcw_repair_barricade	trader_repair_barricade_rebel	trader_repair_barricade_imperial	
quest/gcw_repair_patrol	trader_repair_patrol_point_rebel	trader_repair_patrol_point_imperial	
quest/gcw_repair_turret	trader_repair_turret_rebel	trader_repair_turret_imperial	
quest/gcw_repair_vehicle	trader_repair_vehicle_rebel	trader_repair_vehicle_imperial	
quest/gcw_entertain_fatigue	entertainer_cure_fatigue_rebel	entertainer_cure_fatigue_imperial	
quest/gcw_entertain_rallying	entertainer_demorazlied_troops_rebel	entertainer_demorazlied_troops_imperial	
quest/gcw_entertain_patrol	entertainer_troop_spawn_rebel	entertainer_troop_spawn_imperial	
quest/gcw_medic_heal	medic_heal_soldier_rebel	medic_heal_soldier_imperial	
quest/gcw_smuggler_slicing	smuggler_slice_terminal_rebel	smuggler_slice_terminal_imperial
quest/gcw_spy_destroy_patrol	spy_destroy_patrol_point_rebel	spy_destroy_patrol_point_imperial
quest/gcw_defend_rebel_barricade	combat_defend_barricade_rebel	
quest/gcw_defend_rebel_tower	combat_defend_tower_rebel	
quest/gcw_defend_rebel_turret	combat_defend_turret_rebel	
quest/gcw_defend_imperial_barricade		combat_defend_barricade_imperial
quest/gcw_defend_imperial_tower		combat_defend_tower_imperial
quest/gcw_defend_imperial_turret		combat_defend_turret_imperial
quest/gcw_destroy_barricade	combat_destroy_barricade_rebel	combat_destroy_barricade_imperial
quest/gcw_destroy_turret	combat_destroy_turret_rebel	combat_destroy_turret_imperial
quest/wod_rubina_goto_ns	wod_ns_trust	wod_ns_trust	wod_ns_trust
quest/wod_rubina_goto_sm	wod_sm_trust	wod_sm_trust	wod_sm_trust
quest/wod_themepark_ns_herb_gathering	wod_ns_herb_01	wod_ns_herb_01	wod_ns_herb_01
quest/wod_themepark_herb_gathering	wod_herb_01	wod_herb_01	wod_herb_01
quest/wod_themepark_ns_rancor_tamer	wod_ns_ent	wod_ns_ent	wod_ns_ent
quest/wod_themepark_sm_rancor_tamer	wod_sm_ent	wod_sm_ent	wod_sm_ent
quest/wod_themepark_ns_hunting	wod_ns_hunt	wod_ns_hunt	wod_ns_hunt
quest/wod_themepark_sm_hunting	wod_sm_hunt	wod_sm_hunt	wod_sm_hunt
quest/wod_themepark_ns_fishing	wod_ns_fish	wod_ns_fish	wod_ns_fish
quest/wod_themepark_sm_fishing	wod_sm_fish	wod_sm_fish	wod_sm_fish
quest/wod_themepark_ns_whole_truth_02	wod_ns_rancor_quests	wod_ns_rancor_quests	wod_ns_rancor_quests
quest/wod_themepark_sm_whole_truth_02	wod_sm_rancor_quests	wod_sm_rancor_quests	wod_sm_rancor_quests
quest/wod_themepark_ns_ehs_1	wod_ns_spider_quests	wod_ns_spider_quests	wod_ns_spider_quests
quest/wod_themepark_ehs_1	wod_sm_spider_quests	wod_sm_spider_quests	wod_sm_spider_quests
quest/wod_ns_repair_alter_04	wod_ns_trader_quest	wod_ns_trader_quest	wod_ns_trader_quest
quest/wod_sm_repair_alter_04	wod_sm_trader_quest	wod_sm_trader_quest	wod_sm_trader_quest
quest/wod_ns_ghost_reward	wod_ns_sisters	wod_ns_sisters	wod_ns_sisters
quest/wod_sm_ghost_reward	wod_sm_sisters	wod_sm_sisters	wod_sm_sisters
quest/wod_kyrisa_boss_fight_ns	wod_rancor_boss	wod_rancor_boss	wod_rancor_boss
quest/wod_kyrisa_boss_fight	wod_rancor_boss	wod_rancor_boss	wod_rancor_boss
quest/wod_queen_mother_boss_fight_ns	wod_spider_boss	wod_spider_boss	wod_spider_boss
quest/wod_queen_mother_boss_fight	wod_spider_boss	wod_spider_boss	wod_spider_boss
quest/wod_sister1	wod_first_sister	wod_first_sister	wod_first_sister
quest/wod_sister2	wod_second_sister	wod_second_sister	wod_second_sister
quest/wod_sister3	wod_third_sister	wod_third_sister	wod_third_sister
