strItemType	comments
s	s
item_force_crystal_04_01	Biological Focus Crystal
item_publish_gift_27_04_01	Concentrated Bacta Tank
item_monkey_lizard_dna	DNA Storage Device (Kowakian Monkey Lizard)
item_costume_dug	Dug Costume Instructions
object/tangible/veteran_reward/one_year_anniversary/painting_10.iff	Dusk in Kachirho
object/tangible/painting/painting_zabrak_f.iff	Mercenaries' Despair
object/tangible/painting/painting_zabrak_m.iff	Mercenaries' Lament
object/tangible/wearables/armor/nightsister/armor_nightsister_bicep_r_s01.iff	Nightsister Melee Armguard
object/tangible/painting/bestine_quest_painting.iff	Rare Painting
item_color_crystal_02_29	Sunrider's Destiny
item_force_crystal_04_02	Synapse Focus Crystal
item_monkey_lizard_dna	DNA Storage Device (Monkey Lizard)
