posture	stationary	slow	fast	movementScale	accelerationScale	turnScale	canSeeHeightMod
z(datatables/include/posture.iff)[Invalid]	z(datatables/include/locomotion.iff)[Invalid]	z(datatables/include/locomotion.iff)[Invalid]	z(datatables/include/locomotion.iff)[Invalid]	f	f	f	f
Upright	Standing	Walking	Running	1	1	1	1
Crouched	Kneeling	CrouchWalking	Invalid	0.5	0.5	0.75	0.5
Prone	Prone	Crawling	Invalid	0.25	0.25	0.2	0.25
Sneaking	Standing	Sneaking	Invalid	0.5	0.5	0.75	1
Blocking	Blocking	Invalid	Invalid	0	0	1	1
Climbing	ClimbingStationary	Climbing	Invalid	0.25	0.25	0.25	1
Flying	Invalid	Invalid	Invalid	0	0	0	1
Sitting	Sitting	Invalid	Invalid	0	0	0	0.5
LyingDown	LyingDown	Invalid	Invalid	0.15	0.15	0.12	0.25
SkillAnimating	SkillAnimating	SkillAnimating	SkillAnimating	1	1	1	1
DrivingVehicle	DrivingVehicle	Invalid	Invalid	0	0	0	1
RidingCreature	RidingCreature	Invalid	Invalid	0	0	0	1
KnockedDown	KnockedDown	Invalid	Invalid	0	0	0	0.25
Incapacitated	Incapacitated	Invalid	Invalid	0	0	0	0.25
Dead	Dead	Invalid	Invalid	0	0	0	0.25
