ATTACH_SCRIPT	JOURNAL_ENTRY_TITLE	JOURNAL_ENTRY_DESCRIPTION	IS_VISIBLE	PREREQUISITE_TASKS	EXCLUSION_TASKS	ALLOW_REPEATS	TASKS_ON_COMPLETE	TASKS_ON_FAIL	TASK_NAME	SHOW_SYSTEM_MESSAGES	MUSIC_ON_ACTIVATE	MUSIC_ON_COMPLETE	MUSIC_ON_FAILURE	CHANCE_TO_ACTIVATE	QUEST_CONTROL_ON_TASK_COMPLETION	QUEST_CONTROL_ON_TASK_FAILURE	TARGET	PARAMETER	GRANT_QUEST_ON_COMPLETE	GRANT_QUEST_ON_COMPLETE_SHOW_SYSTEM_MESSAGE	GRANT_QUEST_ON_FAIL	GRANT_QUEST_ON_FAIL_SHOW_SYSTEM_MESSAGE	SIGNALS_ON_COMPLETE	SIGNALS_ON_FAIL	CREATE_WAYPOINT	PLANET_NAME	LOCATION_X	LOCATION_Y	LOCATION_Z	INTERIOR_WAYPOINT_APPEARANCE	WAYPOINT_BUILDING_CELL_NAME	WAYPOINT_NAME	CREATE_ENTRANCE_WAYPOINT	ENTRANCE_LOCATION_X	ENTRANCE_LOCATION_Y	ENTRANCE_LOCATION_Z	ENTRANCE_WAYPOINT_NAME	RADIUS	TIMER_AMOUNT	COMM_MESSAGE_TEXT	NPC_APPEARANCE_SERVER_TEMPLATE	SIGNAL_NAME	NUM_REQUIRED	WAIT_MARKER_CREATE	WAIT_MARKER_TEMPLATE	WAIT_MARKER_PLANET_NAME	WAIT_MARKER_BUILDING	WAIT_MARKER_CELL_NAME	WAIT_MARKER_X	WAIT_MARKER_Y	WAIT_MARKER_Z	MIN_TIME	MAX_TIME
s	s	s	b	s	s	b	s	s	s	b	s	s	s	i	e(none=0,complete=1,clear=2)[none]	e(none=0,complete=1,clear=2)[none]	s	s	s	b	s	b	s	s	b	s	s	s	s	s	s	s	b	s	s	s	s	s	i	s	s	s	i	b	s	s	s	s	f	f	f	i	i
quest.task.ground.nothing			0			0	1			0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																	
quest.task.ground.go_to_location	@quest/ground/wod_prologue_walkabout_01:task01_journal_entry_title	@quest/ground/wod_prologue_walkabout_01:task01_journal_entry_description	1			0	2			0				0	none	none				1		1			1	dathomir	3055	19	1366			@quest/ground/wod_prologue_walkabout_01:task01_waypoint_name	0	0.0	0.0	0.0		10.0	0														
quest.task.ground.comm_player			0			0	3,9		repCom1	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/wod_prologue_walkabout_01:task02_comm_message_text	object/mobile/dressed_wod_omogg_rep.iff												
quest.task.ground.go_to_location	@quest/ground/wod_prologue_walkabout_01:task03_journal_entry_title	@quest/ground/wod_prologue_walkabout_01:task03_journal_entry_description	1			0	4			0				0	none	none				1		1			1	dathomir	4747	115	2399			@quest/ground/wod_prologue_walkabout_01:task03_waypoint_name	0	0.0	0.0	0.0		10.0	0														
quest.task.ground.comm_player			0			0	5		comm2	0	sound/pl_force_illusion.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/wod_prologue_walkabout_01:task04_comm_message_text	object/mobile/dressed_gray_witch.iff												
quest.task.ground.go_to_location	@quest/ground/wod_prologue_walkabout_01:task05_journal_entry_title	@quest/ground/wod_prologue_walkabout_01:task05_journal_entry_description	1			0	6			0				0	none	none				1		1			1	dathomir	5702	122	1937			@quest/ground/wod_prologue_walkabout_01:task05_waypoint_name	0	0.0	0.0	0.0		10.0	0														
quest.task.ground.comm_player			0			0	7		comm3	0	sound/pl_force_illusion.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/wod_prologue_walkabout_01:task06_comm_message_text	object/mobile/dressed_gray_witch.iff												
quest.task.ground.wait_for_signal	@quest/ground/wod_prologue_walkabout_01:task07_journal_entry_title	@quest/ground/wod_prologue_walkabout_01:task07_journal_entry_description	1			0	8		returnToRep01	0				0	none	none				1		1			1	dathomir	552	6	3074			@quest/ground/wod_prologue_walkabout_01:task07_waypoint_name	0	0.0	0.0	0.0			0			returnToRep01	1	0			0		0	0	0		
quest.task.ground.complete_quest			0			0				0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																	
quest.task.ground.timer			0			0	10		waitTen	0				0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0																10	10
quest.task.ground.comm_player			0			0			comm1	0	sound/pl_force_illusion.snd			0	none	none				1		1			0	tatooine	0.0	0.0	0.0				0	0.0	0.0	0.0				@quest/ground/wod_prologue_walkabout_01:task10_comm_message_text	object/mobile/dressed_gray_witch.iff												
