faction	leader	squadClass	template	minSpawnChance	maxSpawnChance
s	i	s	s	i	i
imperial	0	armored	stormtrooper	0	50
imperial	1	armored	stormtrooper_squad_leader	51	75
imperial	0	armored	stormtrooper_captain	76	85
imperial	0	armored	stormtrooper_major	86	90
imperial	0	armored	stormtrooper_medic	91	100
imperial	0	plain	imperial_private	0	50
imperial	0	plain	imperial_corporal	51	75
imperial	0	plain	imperial_sergeant_major	76	85
imperial	0	plain	imperial_staff_sergeant	86	90
imperial	1	plain	imperial_master_sergeant	91	100
rebel	0	armored	rebel_scout	0	50
rebel	1	armored	rebel_trooper	51	75
rebel	0	armored	rebel_commando	76	85
rebel	0	armored	rebel_major	86	90
rebel	0	armored	rebel_medic	91	100
rebel	0	plain	rebel_corporal	0	50
rebel	0	plain	rebel_lance_corporal	51	75
rebel	0	plain	rebel_sergeant	76	85
rebel	0	plain	rebel_staff_sergeant	86	90
rebel	1	plain	rebel_master_sergeant	91	100
neutral	0	armored	mercenary	0	50
neutral	1	armored	mercenary_aggro	51	100
