item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_event_halloween_song_book		900							2008 I am using this column for notes
item_event_halloween_bat_pheromone_01_01	5000								2008 5000 credits
item_event_halloween_spider_pheromone_01_01	5000								2008 5000 credits
item_event_halloween_trick_device_02_01		200							2008
item_event_halloween_trick_device_03_01		700							2008
st_pr_scarecrow_01		400							2008
st_pr_scarecrow_02		400							2008
st_pr_kash_imprv_streetlamp_s01		400							2011
st_pr_kash_imprv_streetlamp_s02		400							2001
item_event_halloween_spider_web_01		200							2008
item_event_halloween_spider_web_02		200							2008
item_event_halloween_spider_web_03		200							2008
item_event_halloween_lantern_01		200							2008
item_event_halloween_lantern_02		200							2008
item_event_halloween_lantern_03		200							2008
item_event_halloween_lantern_04		200							2008
item_event_halloween_lantern_05		200							2008
item_event_halloween_painting		900							2008
item_event_halloween_krayt_01		400							2008
item_event_halloween_house_sign		900							2008
item_event_halloween_house_sign_standing		900							2008
item_event_halloween_skull_candle_01		200							2008
item_event_halloween_skull_candle_02		200							2008
item_event_gmf_backpack_01		700							2009
item_event_gmf_jacket_01		600							2009
item_event_gmf_wings_01		500							2009
item_painting_sayormi_witch_gmf_2010		900							2010
item_schematic_bat_pheromone		500							2010
item_schematic_spider_pheromone		500							2010
item_costume_burning_ewok		800							2009
item_costume_gamorrean_guard		600							2009
item_costume_monkey_lizard		600							2009
item_costume_toydarian		600							2011
item_costume_chiss_01		600							2011
costume_darktrooper_3		600							2011
costume_chevin		600							2011
item_costume_undead_wookiee		600							2011
item_costume_exar_kun_cultist		600							2011
costume_dantari_m		600							2011
costume_dantari_f		600							2001
costume_spider_droid		600							2011
item_costume_hutt_female		600							2011
item_skeleton_costume		600							2010
item_zozpheratu_costume		800							2010
item_costume_kit	900								2008
item_ponda_halloween_hand	10000								2011 10000 credits
