item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_cs_dna_langlatch	1								
item_cs_dna_lantern_bird	1								
item_cs_dna_lava_flea	1								
item_cs_dna_malkloc	1								
item_cs_dna_mamien	1								
item_cs_dna_mawgax	1								
item_cs_dna_merek	1								
item_cs_dna_mott	1								
item_cs_dna_murra	1								
item_monkey_lizard_dna	1								
item_cs_dna_mynock	1								
item_cs_dna_narglatch	1								
item_cs_dna_nexu	1								
item_cs_dna_nuna	1								
item_cs_dna_peko_peko	1								
item_cs_dna_perlek	1								
item_cs_dna_picket	1								
item_cs_dna_pugoriss	1								
item_cs_dna_purbole	1								
item_cs_dna_quenker	1								
item_cs_dna_reek	1								
item_cs_dna_reptilian_flyer	1								
item_cs_dna_roba	1								
item_cs_dna_rock_mite	1								
item_cs_dna_ronto	1								
item_cs_dna_salt_mynock	1								
item_cs_dna_sharnaff	1								
item_cs_dna_shaupaut	1								
item_cs_dna_shear_mite	1								
item_cs_dna_skreeg	1								
item_cs_dna_snorbal	1								
item_cs_dna_spined_puc	1								
item_cs_dna_spined_snake	1								
item_cs_dna_squall	1								
item_cs_dna_squill	1								
item_cs_dna_stintaril	1								
item_cs_dna_swirl_prong	1								
item_cs_dna_tanc_mite	1								
item_tauntaun_dna	1								
item_cs_dna_thune	1								
item_cs_dna_torton	1								
item_cs_dna_tulrus	1								
item_cs_dna_tusk_cat	1								
item_cs_dna_tybis	1								
item_cs_dna_varactyl	1								
item_cs_dna_veermok	1								
item_cs_dna_verne	1								
item_cs_dna_vesp	1								
item_cs_dna_vir_vur	1								
item_cs_dna_voritor_lizard	1								
item_cs_dna_vynock	1								
item_cs_dna_womp_rat	1								
item_cs_dna_woolamander	1								
item_cs_dna_worrt	1								
item_cs_dna_zucca_boar	1								
item_dna_kittle	1								
item_dna_minstyngar	1								
item_dna_mouf	1								
item_dna_nerf	1								
item_dna_uller	1								
item_dna_walluga	1								
item_wampa_dna	1								
item_dna_webweaver	1								
item_cs_dna_hawk_bat	1								
