item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series3_general_grievous_gutsack	35000								
item_tcg_loot_reward_series3_hh_15_torpedo_warhead	20000								
item_tcg_loot_reward_series3_wookiee_ceremonial_pipe	15000								
item_tcg_loot_reward_series3_jango_fett_memorial_statue	75000								
item_tcg_loot_reward_series3_boba_fett_statue	75000								
item_tcg_loot_reward_series3_emperor_palpatine_statuette	75000								
item_tcg_loot_reward_series3_sith_meditation_room_deed	375000								
item_tcg_loot_reward_series3_jedi_meditation_room_deed	375000								
item_tcg_loot_reward_series3_podracer_longtail	250000								
item_tcg_loot_reward_series3_koro2_exodrive_airspeeder	250000								
item_tcg_loot_reward_series3_armored_bantha	225000								
item_tcg_loot_reward_series3_swamp_speeder	250000								
item_tcg_loot_reward_series3_creature_pet_deed_massiff	185000								
item_tcg_loot_reward_series3_empal_surecon_center_medical_table	75000								
item_tcg_loot_reward_series3_wampa_skin_rug	75000								
item_tcg_loot_reward_series3_target_dummy	150000								
item_tcg_loot_reward_series3_house_sign	95000								
item_tcg_loot_reward_series3_mandalorian_skull_banner	75000								
item_tcg_loot_reward_series3_merr_sonn_jt12_jetpack_blueprints	45000								
item_tcg_loot_reward_series3_mustafar_travel_advertisement	45000								
item_tcg_loot_reward_series3_hoth_travel_advertisement	45000								
item_tcg_loot_reward_series3_swg_tcg_painting	45000								
item_tcg_loot_reward_series3_darth_vader_obi_wan_diorama	75000								
item_tcg_loot_reward_series3_guise_of_the_master	85000								
item_tcg_loot_reward_series3_gargans_hands_of_seduction	85000								
item_tcg_loot_reward_series3_greeter_battle_droid	225000								
item_tcg_loot_reward_series3_greeter_toydarian	225000								
item_tcg_loot_reward_series3_greeter_tusken	225000								
item_tcg_loot_reward_series3_nightsister_vendor	175000								
item_tcg_loot_reward_series3_battle_droid_vendor	175000								
