item	cash	token22	token23	token24	token25	token26	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_color_crystal_02_34		25	5	5	5	5	0		
item_wod_smc_boots			6		4		0		
item_wod_smc_wrap			6		4		0		
item_wod_smc_shroud			6		4		0		
item_wod_smc_mantle			6		4		0		
item_wod_smc_skirt_1			6		4		0		
item_wod_smc_skirt_2			6		4		0		
item_wod_smc_skirt_3			6		4		0		
item_wod_smc_guard			6	2	4		0		
item_wod_smc_hood			6	2	4		0		
item_wod_ns_salve			2			5	0		
item_wod_ns_fruit		2				5	0		
item_wod_ns_root				2		5	0		
item_wod_ns_gourd					2	5	0		
item_wod_ns_schematic_maiden			5	2	2		0		
item_wod_ns_schematic_mother			5	2	2		0		
item_wod_ns_schematic_crone			5	2	2		0		
item_wod_smc_schematic_stones		5		4		4	0		
item_wod_smc_schematic_tril		5		4		4	0		
weapon_sword_2h_wod_04_01		5	5	20	5	5	0		
weapon_sword_1h_wod_04_01		5	5	20	5	5	0		
weapon_polearm_wod_04_01		5	5	20	5	5	0		
weapon_war_fan_wod_04_01		5	5	20	5	5	0		
item_wod_ns_schematic_crafting		5	15	5	15	5	0		
item_painting_wod_sm_02			4		4		0		
item_wod_smc_schematic_hut		5	3	3	9	30	0		
item_wod_ns_sign_hanging		6	6	6	6	6	0		
item_wod_ns_sign_standing		6	6	6	6	6	0		
