item	cash	token0	token1	token2	token3	token4	class	script	note
s[none]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	i[0]	s	c
item_tcg_loot_reward_series6_ric_920_speeder	250000								
item_tcg_loot_reward_series6_a1_deluxe_floater	250000								
item_tcg_loot_reward_series6_build01_hk47_statuette	75000								
item_tcg_loot_reward_series6_build02_hk47_mustafar_diorama	75000								
item_tcg_loot_reward_series6_build03_battle_droid_statuette	75000								
item_tcg_loot_reward_series6_build04_hkdroid_series_poster	75000								
item_tcg_loot_reward_series6_deed_emperor_spire	375000								
item_tcg_loot_reward_series6_deed_rebel_spire	375000								
item_tcg_loot_reward_series6_guise_of_fire	85000								
item_tcg_loot_reward_series6_guise_of_ice	85000								
item_tcg_loot_reward_series6_greedo_outfit	85000								
item_tcg_loot_reward_series6_cloud_car_itv	275000								
item_tcg_loot_reward_series6_gualaar_mount	225000								
item_tcg_loot_reward_series6_jedi_council_diorama	75000								
item_tcg_loot_reward_series6_han_greedo_diorama	75000								
item_tcg_loot_reward_series6_cloud_city_hologram	75000								
item_tcg_loot_reward_series6_dewback_armor	165000								
item_tcg_loot_reward_series6_lando_statuette	75000								
item_tcg_loot_reward_series6_baby_colo_set	75000								
item_tcg_loot_reward_series6_nightsister_painting	75000								
item_tcg_loot_reward_series6_travel_ad_ord_mantell	75000								
item_tcg_loot_reward_series6_travel_ad_coruscant	75000								
item_tcg_loot_reward_series6_beast_poster_winged_quenker	75000								
item_tcg_loot_reward_series6_beast_poster_spined_rancor	75000								
item_tcg_loot_reward_series6_auto_feeder	115000								
item_tcg_loot_reward_series6_beast_muzzle	115000								
item_tcg_loot_reward_series6_shock_collar	115000								
item_tcg_loot_reward_series6_ponda_baba_arm	35000								
item_tcg_loot_reward_series6_jabba_bed	75000								
item_tcg_loot_reward_series6_house_lamp	75000								
item_tcg_loot_reward_series6_snow_jacket	85000								
