item	cash	token21	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
item_schematic_gcw2_mandal_armor_plating		100	0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
item_schematic_gcw2_mandal_fusion_reactor		100	0		"So in the case of this table only traders will see the ""all"" items."
item_schematic_gcw2_eng_reward_experimental		100	0		
item_schematic_gcw2_borstel_cannon		100	0		
item_schematic_gcw2_twing		300	0		
item_schematic_gcw2_vaksai_heavy		300	0		
item_schematic_gcw2_havoc		300	0		
item_ship_deed_twing		1000	0		
item_ship_deed_havoc		1000	0		
item_helmet_ace_neut		50	0		
item_helmet_ace_reb		50	0		
item_jacket_ace_neut		50	0		
item_jacket_ace_reb		50	0		
item_kimogila_s01_texture_kit		50	0		
item_schematic_gcw2_survey_tool_all		100	0		
