spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value	planet_level
s	s	s	f	f	f	f	s	s	s	i	s	s	s	s	s	s	i[0]
nightsister_sentry		r2	22.90247154	-38.4671669	-32.64780426	-1	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r2	26.6	-38.1	-32.9	-1	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r2	23.28798676	-42.32689667	-66.70386505	84	theme_park.dungeon.generic_death	conversation		600							1
nightsister_sentry		r2	26.9	-42.7	-64.7	-163	theme_park.dungeon.generic_death	conversation		600							1
nightsister_sentry		r2	49.82684708	-47.86926651	-69.21621704	-100	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r2	26.4	-43.1	-69.1	-5	theme_park.dungeon.generic_death	conversation		600							1
nightsister_sentry		r2	44.32450485	-47.69034958	-35.24478531	178	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r2	41.9	-47.2	-35.5	178	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r3	91.3004837	-66.60985565	-36.10034943	1	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r3	88.6	-66.6	-36.7	1	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r3	75.66321564	-67.6869278	-36.6700592	50	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r3	72.4	-69.1	-39.9	84	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r3	89.49777985	-61.82883453	-11.16464424	-90	theme_park.dungeon.generic_death			600							1
nightsister_sentry		r3	90.01	-62.01	-15.6	-90	theme_park.dungeon.generic_death			600							1
nightsister_slave		r3	86.37434387	-64.66377258	-27.1724968	-33	theme_park.dungeon.generic_death	npc_sad		600							1
nightsister_slave		r3	81.4	-65.4	-27.4	-90	theme_park.dungeon.generic_death	npc_sad		600							1
nightsister_slave		r3	92.01	-63.7	-27.2	-28	theme_park.dungeon.generic_death	npc_sad		600							1
nightsister_rancor_tamer		r4	92.463974	-76.19015503	-83.86688995	-90	theme_park.dungeon.generic_death	themepark_oola		800							1
nightsister_rancor_tamer		r4	90.6	-76.3	-83.9	90	theme_park.dungeon.generic_death	entertained		800							1
nightsister_initiate		r4	67.57639313	-77.0296402	-87.79975128	14	theme_park.dungeon.generic_death			600							1
nightsister_initiate		r4	62.8	-76.4	-84.3	24	theme_park.dungeon.generic_death	npc_angry		600							1
nightsister_initiate		r4	66.1716156	-75.76125336	-66.17204285	32	theme_park.dungeon.generic_death			600							1
nightsister_initiate		r4	70.01	-76.6	-68.6	30	theme_park.dungeon.generic_death	nervous		600							1
nightsister_sentinal		r5	95.45726776	-66.0785141	-109.6863556	-179	theme_park.dungeon.generic_death	npc_meditate		800							1
nightsister_sentinal		r5	91.9	-66.8	-113.1	-179	theme_park.dungeon.generic_death			800							1
nightsister_sentinal		r5	97.1	-65.8	-114.4	-179	theme_park.dungeon.generic_death			800							1
nightsister_slave		r8	136.2821503	-66.3077774	-117.7355652	29	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r8	142.3	-66.7	-117.2	-1	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r8	124.9262238	-66.79426575	-108.0239105	-179	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r8	129.1	-66.6	-109.9	-141	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r8	137.01651	-67.06910706	-96.16227722	-90	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_slave		r8	140.7	-66.9	-89.5	27	theme_park.dungeon.generic_death	npc_sad		900							1
nightsister_sentinal		r8	153.9473724	-65.76854706	-127.8111496	-44	theme_park.dungeon.generic_death	npc_meditate		900							1
