spawns	name	room	loc_x	loc_y	loc_z	yaw	script	mood	animation_mood	respawn_time	spawn_objvar	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value	radius	planet_level
s	s	s	f	f	f	f	s	s	s	i	s	s	s	s	s	s	f	i[0]
roba_female		world	-5481.98	39.77449	5820.475		theme_park.dungeon.generic_death			1800	int:ai.defaultCalmBehavior=2						1.5	1
roba_male		world	-5476.14	41.1585	5821.533		theme_park.dungeon.generic_death			1800	int:ai.defaultCalmBehavior=2						1.5	1
guf_drolg		world	-5679.6	7.126534	5285.858		theme_park.dungeon.generic_death			1800	int:ai.defaultCalmBehavior=2						1.5	1
huf_dun_bull		world	-5226.41	48.62863	4596.663		theme_park.dungeon.generic_death			2700	int:ai.defaultCalmBehavior=2						1.5	1
huf_dun		world	-5218.8	48.52597	4603.692		theme_park.dungeon.generic_death			2700	int:ai.defaultCalmBehavior=2						1.5	1
sickly_decay_mite_queen		world	-4989.04	41.92709	5755.797		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=1						1.5	1
oozing_dung_royal_guardian		world	-4977.85	42.67858	5754.896		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
hilltop_kima		world	-4597.11	40.43139	5701.309		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
puss_covered_decay_mite_soldier		world	-5143.27	36.77076	3705.026		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
wolf_kima		world	-4759.86	15.79618	3932.915		theme_park.dungeon.generic_death			1800	int:ai.defaultCalmBehavior=2						1.5	1
beserk_kahmurra		world	-4460.38	6.35461	4064.203		theme_park.dungeon.generic_death			2700	int:ai.defaultCalmBehavior=2						1.5	1
binayre_chief		world	-4067.33	36.30018	3662.695		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
binayre_pirate		world	-4069.01	35.99458	3669.616		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
aakuan_sentinal		world	-4021.09	30.06836	4621.344		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
rebel_specforce_guerrilla		world	-3194.32	50.10966	4758.005		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
binayre_pirate		world	-3332.34	76.37209	5170.764		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=1						1.5	1
scientist		world	-3631.88	56.49735	6328		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=1						1.5	1
bodyguard		world	-3635.03	56.44189	6327.269		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
smuggler		world	-3448.85	43.47202	6187.27		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
greater_sludge_panther		world	-3491.28	39.9907	3701.202		theme_park.dungeon.generic_death			7200	int:ai.defaultCalmBehavior=2						1.5	1
sickly_decay_mite_queen		world	-5114.33	19.60744	3219.208		theme_park.dungeon.generic_death			7200	int:ai.defaultCalmBehavior=2						1.5	1
putrid_decay_mite_hatchling		world	-5117.46	17.58283	3205.938		theme_park.dungeon.generic_death			1800	int:ai.defaultCalmBehavior=2						1.5	1
oozing_dung_royal_guardian		world	-5120.63	19.54989	3222.975		theme_park.dungeon.generic_death			7200	int:ai.defaultCalmBehavior=1						1.5	1
puss_covered_decay_mite_soldier		world	-5143.3	19.1038	3236.038		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
puss_covered_decay_mite_soldier		world	-5150.42	13.01396	3192.602		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
hermit		world	-3012.71	0.870357	1949.041		theme_park.dungeon.generic_death			7200	int:ai.defaultCalmBehavior=2						1.5	1
sludge_panther		world	-1397.15	22.38785	2118.894		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
lost_aqualish_warrior		world	-100.897	73.30035	2603.957		theme_park.dungeon.generic_death			7200	int:ai.defaultCalmBehavior=2						1.5	1
wolf_kima		world	-5097.89	9.334035	1266.565		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
vicious_huf_dun		world	-4001.91	1.364015	971.4399		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
sludge_panther		world	-2253.6	5.459029	897.949		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
minor_sludge_panther		world	-2256.95	5.265367	900.6913		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
chadra_fan_assassin		world	-1836.1	7.920475	1433.414		theme_park.dungeon.generic_death			7200	int:ai.defaultCalmBehavior=2						1.5	1
binayre_smuggler		world	-567.06	53.49504	1272.77		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
thug		world	-54.2633	7.620039	979.8873		theme_park.dungeon.generic_death			100	int:ai.defaultCalmBehavior=2						1.5	1
tortur_bull		world	82.42375	11.53752	1580.19		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
pathfinder		world	609.9063	43.17323	1111.469		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
warder		world	618.3359	40.85477	1087.865		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
puss_covered_decay_mite_soldier		world	1112.965	58.30381	1487.976		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
binayre_pirate		world	1731.603	6.809379	777.8594		theme_park.dungeon.generic_death			2700	int:ai.defaultCalmBehavior=2						1.5	1
scout_trooper		world	3214.758	8.43593	1259.736		theme_park.dungeon.generic_death			2700	int:ai.defaultCalmBehavior=2						1.5	1
mutated_kahmurra		world	-4475.02	24.32635	56.07922		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
aakuan_keeper		world	-3682.29	35.35826	-543.348		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
aakuan_guardian		world	-3677	35.00649	-554.049		theme_park.dungeon.generic_death			3600	int:ai.defaultCalmBehavior=2						1.5	1
