Command	Level
s	i{50}
ai.debug	50
ai.debugTest	50
ai.hatelist	50
ai.info	50
ai.kill	50
ai.killall	50
ai.log	50
ai.retreat	50
ai.runspeed	50
ai.walkspeed	50
city.listByCitizenCount	50
city.listByCreationTime	50
city.listById	50
city.listByName	50
city.listByPlanet	50
city.listByRank	50
city.listByStructureCount	50
city.listCitiesWithIllegalShuttleport	50
city.setCityCreationTime	50
city.showCityDetails	50
city.showCityGcwRegionDefender	50
city.showCityRetroactiveCreationTime	50
collection.addServerFirst	50
collection.adjustSlotValue	50
collection.displayCollections	50
collection.displayServerFirst	50
collection.grantAllSlotsForBook	50
collection.grantAllSlotsForCollection	50
collection.grantAllSlotsForPage	50
collection.removeServerFirst	50
collection.revokeAllSlotsForBook	50
collection.revokeAllSlotsForCollection	50
collection.revokeAllSlotsForPage	50
collection.setServerFirstTime	50
craft.customize	50
craft.disableSchematicFilter	50
craft.draft	50
craft.enableSchematicFilter	50
craft.experiment	50
craft.fillslot	50
craft.makeprototype	50
craft.makeschematic	50
craft.nextstage	50
craft.stop	50
guild.findGuildLeaderMismatch	50
guild.findGuildLeaderPermissionMismatch	50
guild.findGuildMemberNameMismatch	50
guild.findLeaderlessGuild	50
guild.findOrphanedGuild	50
guild.listByAbbrev	50
guild.listById	50
guild.listByLeaderId	50
guild.listByLeaderName	50
guild.listByMemberActiveSize	50
guild.listByMemberInactiveSize	50
guild.listByMemberSize	50
guild.listByName	50
guild.listBySponsoredActiveSize	50
guild.listBySponsoredInactiveSize	50
guild.listBySponsoredSize	50
guild.listByTotalActiveSize	50
guild.listByTotalInactiveSize	50
guild.listByTotalSize	50
guild.setGuildAbbrev	50
guild.setGuildLeader	50
guild.setGuildName	50
guild.showGuildDetails	50
guild.showGuildGcwRegionDefender	50
manufacture.addIngredient	50
manufacture.addSchematic	50
manufacture.getObjects	50
manufacture.listIngredients	50
manufacture.listObjects	50
manufacture.listSchematic	50
manufacture.removeIngredient	50
manufacture.removeSchematic	50
manufacture.start	50
manufacture.stop	50
money.balance	50
money.bankTransfer	50
money.cashTransfer	50
money.deposit	50
money.namedTransfer	50
money.setGalacticReserve	50
money.withdraw	50
npc.goodbye	50
npc.hail	50
npc.respond	50
object.addJediSlot	50
object.addLocationTarget	50
object.addPassiveReveal	50
object.adjustAge	50
object.adjustSwgAccountFeatureId	50
object.askConsent	50
object.attribs	50
object.authority	50
object.canMove	50
object.cellCreate	50
object.cellCreateTranslateRotate	50
object.clearPassiveReveal	50
object.count	50
object.create	50
object.createAt	50
object.createIn	50
object.createManyAt	50
object.createPathNodes	50
object.createTranslateRotate	50
object.createTriggerVolume	50
object.debugFar	50
object.deleteAuctionLocation	50
object.deletePersistedContents	50
object.destroy	50
object.destroyAllMobsExcept	50
object.destroyAllWorldMobs	50
object.destroyPathNodes	50
object.disableCharacter	50
object.enableCharacter	50
object.enqueueCommand	50
object.find	50
object.findCreature	50
object.findRelative_w	50
object.findTemplate	50
object.fixHouseItemLimit	50
object.fixLoadWith	50
object.getAge	50
object.getAttributes	50
object.getBadge	50
object.getBattlefieldMarkerRegionName	50
object.getBehavior	50
object.getBroadcastInfo	50
object.getChatStatistics	50
object.getDatapadId	50
object.getExposedProxyList	50
object.getHeight	50
object.getHibernating	50
object.getInventoryId	50
object.getInvulnerabilityTimer	50
object.getJediSlotInfo	50
object.getLoadWith	50
object.getObservers	50
object.getObserving	50
object.getObservingDetailed	50
object.getObservingPvpSync	50
object.getObservingPvpSyncDetailed	50
object.getOpenedContainers	50
object.getOwner	50
object.getPassiveReveal	50
object.getPower	50
object.getPowerRate	50
object.getPrivateProxyList	50
object.getServerTemplate	50
object.getStandingOn	50
object.getStaticInfo	50
object.getVolume	50
object.gotoObject	50
object.hide	50
object.isIncapacitated	50
object.isOnSolidFloor	50
object.isProxy	50
object.listContainer	50
object.loadContents	50
object.loadStructure	50
object.loginCharacter	50
object.makeSpectral	50
object.markCityEntrance	50
object.move	50
object.moveItemInHouseToMe	50
object.moveSimClear	50
object.moveSimStart	50
object.moveToMe	50
object.moveToPlayer	50
object.moveToPlayerAndUnload	50
object.pathAutoCleanup	50
object.pathAutoGenerate	50
object.persist	50
object.playUiEffect	50
object.regionList	50
object.reinitializeVendor	50
object.relinkPathGraph	50
object.reloadPathNodes	50
object.reloadServerTemplate	50
object.reloadSwgAccountFeatureId	50
object.reloadSwgTcgAccountFeatureId	50
object.removeLocationTarget	50
object.removePassiveReveal	50
object.removeTriggerVolume	50
object.renamePlayer	50
object.resetStats	50
object.restoreCharacter	50
object.restoreHouse	50
object.rollupStructure	50
object.rotate	50
object.scaleMovement	50
object.scaleSize	50
object.setAdminTitle	50
object.setBattlefieldMarkerRegionName	50
object.setCoverVisibility	50
object.setName	50
object.setOwner	50
object.setPathLinkDistance	50
object.setPower	50
object.setPowerRate	50
object.snap	50
object.spawn	50
object.spewCommandQueue	50
object.stopWatching	50
object.testVendorStatus	50
object.triggerVolumes	50
object.undeleteItem	50
object.unload	50
object.unloadBuildingContents	50
object.unmarkCityEntrance	50
object.unstick	50
object.watch	50
object.watchAIPath	50
object.watchPathMap	50
objvar.get	50
objvar.list	50
objvar.listWithPacking	50
objvar.remove	50
objvar.set	50
objvar.setlist	50
pvp.adjustCurrentGcwPoint	50
pvp.adjustCurrentGcwRating	50
pvp.adjustCurrentPvpKill	50
pvp.adjustLifetimeGcwPoint	50
pvp.adjustLifetimePvpKill	50
pvp.adjustMaxGcwImperialRating	50
pvp.adjustMaxGcwRebelRating	50
pvp.adjustNextGcwRatingCalcTime	50
pvp.getCombatSpamFilter	50
pvp.getGcwInfo	50
pvp.getMaster	50
pvp.makeCovertImperialMercenary	50
pvp.makeCovertRebelMercenary	50
pvp.makeMercenaryNone	50
pvp.makeOvertImperialMercenary	50
pvp.makeOvertRebelMercenary	50
pvp.pvpAttackPerformed	50
pvp.pvpCanAttack	50
pvp.showGcwFormulasTable	50
pvp.showGcwRankDecayExclusionTimeTable	50
pvp.showGcwRankTable	50
pvp.spaceClearOvert	50
pvp.spaceMakeOvert	50
pvp.testGcwPointToRatingConversion	50
resource.activate	50
resource.addtocontainer	50
resource.deactivate	50
resource.deplete	50
resource.discardHopper	50
resource.fillcontainer	50
resource.getSurveyList	50
resource.harvest	50
resource.name	50
resource.pools	50
resource.recycle	50
resource.removefromcontainer	50
resource.survey	50
resource.tree	50
resource.viewcontainer	50
script.attach	50
script.detach	50
script.enableLogging	50
script.list	50
script.pause	50
script.reload	50
script.scriptingEnabled	50
script.triggerAll	50
script.triggerOne	50
server.abortShutdown	50
server.adjustGcwImperialScore	50
server.adjustGcwRebelScore	50
server.clientSaveBuildoutArea	50
server.clock	50
server.dataTableGetString	50
server.decayGcwScore	50
server.destroyPersistedBuildoutAreaDuplicates	50
server.displayTerrain	50
server.dumpCreatures	50
server.dumpMemToFile	50
server.editBuildoutArea	50
server.enableNewJedi	50
server.enablePlayerSanityChecker	50
server.error	50
server.freeCtsInfo	50
server.freeCtsTest	50
server.generateTerrain	50
server.getCharacterInfo	50
server.getCommoditiesAuctionLocationPriorityQueue	50
server.getCommoditiesItemAttribute	50
server.getCommoditiesItemAttributeData	50
