spawns	room	loc_x	loc_y	loc_z	yaw	script	respawn_time	spawn_objvar	mood	animation_mood	special_room	special_room_script	room_objvar	room_objvar_name	room_objvar_value	name
s	s	f	f	f	f	s	i	s	s	s	s	s	s	s	s	s
bull_rancor	r3	-8.773282	-40.377964	-74.00169	-2.7895324	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
bull_rancor	r3	10.08469	-40.407578	-77.78322	-46.77785	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r4	30.987892	-45.1194	-52.411663	-124.901	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r4	44.557434	-46.09163	-96.00456	-52.613297	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
rancor_monstrous_brute	r4	31.869045	-45.31506	-99.373474	64.39554	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r5	-7.775675	-45.58035	-146.06969	27.483908	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r5	-10.2257185	-44.64295	-135.90567	123.38395	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
bull_rancor	r5	65.13616	-46.42392	-125.28311	-135.56181	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r5	53.660378	-56.415306	-178.17778	-31.897173	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r5	62.111526	-57.66139	-171.04495	-68.80876	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r5	45.043747	-56.41123	-162.11993	152.33679	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
rancor_monstrous_brute	r5	29.787474	-60.09413	-182.19386	23.757977	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r7	-3.5947478	-64.07635	-235.09232	-13.363343	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
mutant_rancor	r7	-23.20766	-63.702675	-255.92416	12.677673	theme_park.dungeon.generic_death	600	int:ai.defaultCalmBehavior=2								
