component	reactor	engine	shield_0	shield_1	armor_0	armor_1	capacitor	booster	droid_interface	bridge	hangar	targeting_station	weapon_0	weapon_1	weapon_2	weapon_3	weapon_4	weapon_5	weapon_6	weapon_7	weapon_8	weapon_9	weapon_10	weapon_11	weapon_12	weapon_13	weapon_14	weapon_15	weapon_16	weapon_17	weapon_18	weapon_19	weapon_20	weapon_21	weapon_22	weapon_23	weapon_24	weapon_25	weapon_26	weapon_27	hit_range
shd_generic	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	s	f
wpn_imperial_lancer_turret													spacestation_turret_base_s02:turretyaw1	spacestation_turret_base_s02:turretyaw2	spacestation_turret_base_s02:turretyaw3	spacestation_turret_base_s02:turretyaw4	spacestation_turret_base_s02:turretyaw5	spacestation_turret_base_s02:turretyaw6	spacestation_turret_base_s02:turretyaw7	spacestation_turret_base_s02:turretyaw8	spacestation_turret_base_s02:turretyaw9	spacestation_turret_base_s02:turretyaw10	spacestation_turret_base_s02:turretyaw11	spacestation_turret_base_s02:turretyaw12	spacestation_turret_base_s02:turretyaw13	spacestation_turret_base_s02:turretyaw14	spacestation_turret_base_s02:turretyaw15	spacestation_turret_base_s02:turretyaw16	spacestation_turret_base_s02:turretyaw17	spacestation_turret_base_s02:turretyaw18	spacestation_turret_base_s02:turretyaw19	spacestation_turret_base_s02:turretyaw20	spacestation_turret_base_s02:turretyaw21	spacestation_turret_base_s02:turretyaw22	spacestation_turret_base_s02:turretyaw23	spacestation_turret_base_s02:turretyaw24	spacestation_turret_base_s02:turretyaw25	spacestation_turret_base_s02:turretyaw26	spacestation_turret_base_s02:turretyaw27	spacestation_turret_base_s02:turretyaw28	60
wpn_incom_light_blaster													spacestation_turret_base_s01:turretyaw1	spacestation_turret_base_s01:turretyaw2	spacestation_turret_base_s01:turretyaw3	spacestation_turret_base_s01:turretyaw4	spacestation_turret_base_s01:turretyaw5	spacestation_turret_base_s01:turretyaw6	spacestation_turret_base_s01:turretyaw7	spacestation_turret_base_s01:turretyaw8	spacestation_turret_base_s01:turretyaw9	spacestation_turret_base_s01:turretyaw10	spacestation_turret_base_s01:turretyaw11	spacestation_turret_base_s01:turretyaw12	spacestation_turret_base_s01:turretyaw13	spacestation_turret_base_s01:turretyaw14	spacestation_turret_base_s01:turretyaw15	spacestation_turret_base_s01:turretyaw16	spacestation_turret_base_s01:turretyaw17	spacestation_turret_base_s01:turretyaw18	spacestation_turret_base_s01:turretyaw19	spacestation_turret_base_s01:turretyaw20	spacestation_turret_base_s01:turretyaw21	spacestation_turret_base_s01:turretyaw22	spacestation_turret_base_s01:turretyaw23	spacestation_turret_base_s02:turretyaw24	spacestation_turret_base_s02:turretyaw25	spacestation_turret_base_s02:turretyaw26	spacestation_turret_base_s02:turretyaw27	spacestation_turret_base_s02:turretyaw28	60
wpn_spacestation_rebel_turret_s01													spacestation_turret_base_s01:turretyaw1	spacestation_turret_base_s01:turretyaw2	spacestation_turret_base_s01:turretyaw3	spacestation_turret_base_s01:turretyaw4	spacestation_turret_base_s01:turretyaw5	spacestation_turret_base_s01:turretyaw6	spacestation_turret_base_s01:turretyaw7	spacestation_turret_base_s01:turretyaw8	spacestation_turret_base_s01:turretyaw9	spacestation_turret_base_s01:turretyaw10	spacestation_turret_base_s01:turretyaw11	spacestation_turret_base_s01:turretyaw12	spacestation_turret_base_s01:turretyaw13	spacestation_turret_base_s01:turretyaw14	spacestation_turret_base_s01:turretyaw15	spacestation_turret_base_s01:turretyaw16	spacestation_turret_base_s01:turretyaw17	spacestation_turret_base_s01:turretyaw18	spacestation_turret_base_s01:turretyaw19	spacestation_turret_base_s01:turretyaw20	spacestation_turret_base_s01:turretyaw21	spacestation_turret_base_s01:turretyaw22	spacestation_turret_base_s01:turretyaw23	spacestation_turret_base_s02:turretyaw24	spacestation_turret_base_s02:turretyaw25	spacestation_turret_base_s02:turretyaw26	spacestation_turret_base_s02:turretyaw27	spacestation_turret_base_s02:turretyaw28	60
wpn_spacestation_rebel_turret_s02													spacestation_turret_base_s02:turretyaw1	spacestation_turret_base_s02:turretyaw2	spacestation_turret_base_s02:turretyaw3	spacestation_turret_base_s02:turretyaw4	spacestation_turret_base_s02:turretyaw5	spacestation_turret_base_s02:turretyaw6	spacestation_turret_base_s02:turretyaw7	spacestation_turret_base_s02:turretyaw8	spacestation_turret_base_s02:turretyaw9	spacestation_turret_base_s02:turretyaw10	spacestation_turret_base_s02:turretyaw11	spacestation_turret_base_s02:turretyaw12	spacestation_turret_base_s02:turretyaw13	spacestation_turret_base_s02:turretyaw14	spacestation_turret_base_s02:turretyaw15	spacestation_turret_base_s02:turretyaw16	spacestation_turret_base_s02:turretyaw17	spacestation_turret_base_s02:turretyaw18	spacestation_turret_base_s02:turretyaw19	spacestation_turret_base_s02:turretyaw20	spacestation_turret_base_s02:turretyaw21	spacestation_turret_base_s02:turretyaw22	spacestation_turret_base_s02:turretyaw23	spacestation_turret_base_s02:turretyaw24	spacestation_turret_base_s02:turretyaw25	spacestation_turret_base_s02:turretyaw26	spacestation_turret_base_s02:turretyaw27	spacestation_turret_base_s02:turretyaw28	60
wpn_star_destroyer_turret_dome													spacestation_turret_base_s01:turretyaw1	spacestation_turret_base_s01:turretyaw2	spacestation_turret_base_s01:turretyaw3	spacestation_turret_base_s01:turretyaw4	spacestation_turret_base_s01:turretyaw5	spacestation_turret_base_s01:turretyaw6	spacestation_turret_base_s01:turretyaw7	spacestation_turret_base_s01:turretyaw8	spacestation_turret_base_s01:turretyaw9	spacestation_turret_base_s01:turretyaw10	spacestation_turret_base_s01:turretyaw11	spacestation_turret_base_s01:turretyaw12	spacestation_turret_base_s01:turretyaw13	spacestation_turret_base_s01:turretyaw14	spacestation_turret_base_s01:turretyaw15	spacestation_turret_base_s01:turretyaw16	spacestation_turret_base_s01:turretyaw17	spacestation_turret_base_s01:turretyaw18	spacestation_turret_base_s01:turretyaw19	spacestation_turret_base_s01:turretyaw20	spacestation_turret_base_s01:turretyaw21	spacestation_turret_base_s01:turretyaw22	spacestation_turret_base_s01:turretyaw23	spacestation_turret_base_s02:turretyaw24	spacestation_turret_base_s02:turretyaw25	spacestation_turret_base_s02:turretyaw26	spacestation_turret_base_s02:turretyaw27	spacestation_turret_base_s02:turretyaw28	60
wpn_star_destroyer_turret_square													spacestation_turret_base_s02:turretyaw1	spacestation_turret_base_s02:turretyaw2	spacestation_turret_base_s02:turretyaw3	spacestation_turret_base_s02:turretyaw4	spacestation_turret_base_s02:turretyaw5	spacestation_turret_base_s02:turretyaw6	spacestation_turret_base_s02:turretyaw7	spacestation_turret_base_s02:turretyaw8	spacestation_turret_base_s02:turretyaw9	spacestation_turret_base_s02:turretyaw10	spacestation_turret_base_s02:turretyaw11	spacestation_turret_base_s02:turretyaw12	spacestation_turret_base_s02:turretyaw13	spacestation_turret_base_s02:turretyaw14	spacestation_turret_base_s02:turretyaw15	spacestation_turret_base_s02:turretyaw16	spacestation_turret_base_s02:turretyaw17	spacestation_turret_base_s02:turretyaw18	spacestation_turret_base_s02:turretyaw19	spacestation_turret_base_s02:turretyaw20	spacestation_turret_base_s02:turretyaw21	spacestation_turret_base_s02:turretyaw22	spacestation_turret_base_s02:turretyaw23	spacestation_turret_base_s02:turretyaw24	spacestation_turret_base_s02:turretyaw25	spacestation_turret_base_s02:turretyaw26	spacestation_turret_base_s02:turretyaw27	spacestation_turret_base_s02:turretyaw28	60
rct_generic	"reactor1,reactor2,reactor3,reactor4"																																								60
eng_generic																																									60
shd_generic			shield1_1	shield2_1																																					60
bdg_generic										"bridge1,bridge2"																															60
hgr_generic											"hangar1,hangar2"																														60
tst_generic												"targetingstation1,targetingstation2"																													60
