component	engine	weapon_0	weapon_1	weapon_2
s	s	s	s	s
eng_bezelbok_kessel_runner	tie_engine_s01:			
eng_corellian_cruiser_grade_mk1	tie_engine_s01:			
eng_corellian_cruiser_grade_mk2	tie_engine_s01:			
eng_corellian_deluxe_cruiser_grade_mk1	tie_engine_s01:			
eng_crafted_incom_fusialthrust	tie_engine_s01:			
eng_crafted_novaldex_eventhorizon	tie_engine_s01:			
eng_crafted_qualdex_kyromaster	tie_engine_s01:			
eng_cygnus_hd3	tie_engine_s01:			
eng_cygnus_hd7	tie_engine_s01:			
eng_cygnus_hd8	tie_engine_s01:			
eng_cygnus_hd_5	tie_engine_s01:			
eng_cygnus_hdx	tie_engine_s01:			
eng_damorian_rx7	tie_engine_s01:			
eng_freitek_dual_jet	tie_engine_s01:			
eng_gallofree_advanced	tie_engine_s01:			
eng_gallofree_jx2	tie_engine_s01:			
eng_gallofree_jx3	tie_engine_s01:			
eng_h17_singularity	tie_engine_s01:			
eng_haor_chall_old_engine	tie_engine_s01:			
eng_incom_advanced	tie_engine_s01:			
eng_incom_advanced_fusialthrust	tie_engine_s01:			
eng_incom_e16	tie_engine_s01:			
eng_incom_elite	tie_engine_s01:			
eng_incom_fusialthrust	tie_engine_s01:			
eng_incom_fusialthrust_2	tie_engine_s01:			
eng_incom_heavy_fusialthrust	tie_engine_s01:			
eng_incom_improved_fusialthrust_2	tie_engine_s01:			
eng_incom_light_fusialthrust	tie_engine_s01:			
eng_koensayr_advanced	tie_engine_s01:			
eng_koensayr_dual_small_ionjet	tie_engine_s01:			
eng_koensayr_elite	tie_engine_s01:			
eng_koensayr_enhanced_dual_small_ionjet	tie_engine_s01:			
eng_koensayr_heavy_ionjet	tie_engine_s01:			
eng_koensayr_ionjet	tie_engine_s01:			
eng_koensayr_small_ionjet	tie_engine_s01:			
eng_koensayr_tuned_small_ionjet	tie_engine_s01:			
eng_kongar_defender	tie_engine_s01:			
eng_kse_a2x	tie_engine_s01:			
eng_kse_a5x	tie_engine_s01:			
eng_kse_a7x	tie_engine_s01:			
eng_kse_a8x	tie_engine_s01:			
eng_kse_advanced	tie_engine_s01:			
eng_kse_elite	tie_engine_s01:			
