hero_name	hero_template	ship_template	ship_name	taunt_file	taunt_chance	faction
s	s	s	s	s	f	s
darth_vader	object/mobile/darth_vader.iff	tieadvanced_tier10	ace_imperial_vader	space/taunts/ace_imp_vader	1	imperial
boba_fett	object/mobile/boba_fett.iff	firespray_tier10	ace_neutral_boba_fett	space/taunts/ace_neutral_boba	1	neutral
lando	object/mobile/lando.iff	yt1300_tier10	ace_neutral_lando	space/taunts/ace_neutral_lando	3	neutral
arhul_narra	object/mobile/arhul_narra.iff	xwing_tier8	ace_rebel_arhul_narra	space/taunts/ace_reb_generic	2	rebel
maarek_stele	object/mobile/maarek_stele.iff	tieoppressor_tier9	ace_imperial_maarek_stele	space/taunts/ace_imp_generic	1	imperial
arvel_crynyd	object/mobile/arvel_crynyd.iff	awing_tier8	ace_rebel_arvel_crynyd	space/taunts/ace_reb_generic2	3	rebel
beedo	object/mobile/beedo.iff	dunelizard_s01_tier8	ace_neutral_beedo	space/taunts/ace_neutral_generic	4	neutral
chiraneau	object/mobile/chiraneau.iff	tiefighter_tier9	ace_imperial_chiraneau	space/taunts/ace_imp_generic2	2	imperial
cive_rashon	object/mobile/cive_rashon.iff	tiefighter_tier8	ace_imperial_cive_rashon	space/taunts/ace_imp_generic	2	imperial
dengar	object/mobile/dengar.iff	scyk_s02_tier9	ace_neutral_dengar	space/taunts/ace_neutral_generic2	1	neutral
derek_klivian	object/mobile/derek_klivian.iff	ywing_tier10	ace_rebel_derek_klivian	space/taunts/ace_reb_generic	3	rebel
ds1814	object/mobile/ds1814.iff	tieinterceptor_tier9	ace_imperial_ds1814	space/taunts/ace_imp_generic2	4	imperial
guri	object/mobile/guri.iff	yt2400	ace_neutral_guri	space/taunts/ace_neutral_generic	2	neutral
iran_ryad	object/mobile/iran_ryad.iff	tieoppressor_tier9	ace_imperial_iran_ryad	space/taunts/ace_imp_generic	3	imperial
jan_ors	object/mobile/jan_ors.iff	bwing_tier9	ace_rebel_jan_ors	space/taunts/ace_reb_generic2	3	rebel
keyan_farlander	object/mobile/keyan_farlander.iff	xwing_tier9	ace_rebel_keyan_farlander	space/taunts/ace_reb_generic	2	rebel
pash_cracken	object/mobile/pash_cracken.iff	awing_tier9	ace_rebel_pash_cracken	space/taunts/ace_reb_generic2	3	rebel
soontir_fel	object/mobile/soontir_fel.iff	tieinterceptor_tier9	ace_imperial_soontir_fel	space/taunts/ace_imp_fel	3	imperial
tarrin_datch	object/mobile/tarrin_datch.iff	xwing_tier9	ace_rebel_tarrin_datch	space/taunts/ace_reb_generic	3	rebel
turr_phennir	object/mobile/turr_phennir.iff	tieaggressor_tier8	ace_imperial_turr_phennir	space/taunts/ace_imp_generic2	2	imperial
tyber_zann	object/mobile/tyber_zann.iff	kimogilla_s02_tier9	ace_neutral_tyber_zann	space/taunts/ace_neutral_generic2	2	neutral
tycho_celchu	object/mobile/tycho_celchu.iff	xwing_tier8	ace_rebel_tycho_celchu	space/taunts/ace_reb_generic2	2	rebel
vindoo_barvel	object/mobile/vindoo_barvel.iff	tiefighter_tier8	ace_imperial_vindoo_barvel	space/taunts/ace_imp_generic2	2	imperial
zardra	object/mobile/zardra.iff	dunelizard_s02_tier9	ace_neutral_zardra	space/taunts/ace_neutral_generic	2	neutral
mara_jade	object/mobile/mara_jade.iff	tieadvanced_tier9	ace_imperial_mara_jade	space/taunts/ace_imp_marajade	3	imperial
wedge_antilles	object/mobile/wedge_antilles.iff	xwing_tier10	ace_rebel_wedge	space/taunts/ace_reb_wedge	4	rebel
nym	object/mobile/nym.iff	havoc	ace_neutral_nym	space/taunts/ace_neutral_generic2	3	neutral
4lom	object/mobile/4lom.iff	droid_fighter_tier8	ace_neutral_4lom	space/taunts/ace_neutral_generic	4	neutral
luke_skywalker	object/mobile/luke_skywalker.iff	xwing_tier10	ace_rebel_luke	space/taunts/ace_reb_luke	4	rebel
bossk	object/mobile/bossk.iff	scyk_s02_tier10	ace_neutral_bossk	space/taunts/ace_neutral_generic2	2	neutral
