strQuality	strItemName	strItemType	enabled	comments
s	s	s	Int[1]	s
all	object/tangible/ship/components/armor/arm_corellian_advanced_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_corellian_heavy_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_corellian_modified_heavy_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_corellian_special_standard_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_koensayr_advanced_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_koensayr_limited_heavy_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_koensayr_supreme_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_koensayr_thick_advanced_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_kse_advanced_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_kse_customized_advanced_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_kse_limited_heavy_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_kse_supreme_durasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_mandal_advanced_composite.iff	armor		
all	object/tangible/ship/components/armor/arm_mandal_double_insulated_i5.iff	armor		
all	object/tangible/ship/components/armor/arm_mandal_enhanced_heavy_composite.iff	armor		
all	object/tangible/ship/components/armor/arm_mandal_insulated_i7.iff	armor		
all	object/tangible/ship/components/armor/arm_mission_reward_neutral_kse_handcrafted.iff	armor		
all	object/tangible/ship/components/armor/arm_mission_reward_rebel_corellian_triplate.iff	armor		
all	object/tangible/ship/components/armor/arm_subpro_heavy_plastisteel.iff	armor		
all	object/tangible/ship/components/armor/arm_subpro_limited_heavy_plastisteel.iff	armor		
all	object/tangible/ship/components/armor/armor_subpro_corrugated_durasteel.iff	armor		
all	object/tangible/ship/components/armor/armor_subpro_reinforced_plasteel.iff	armor		
all	object/tangible/ship/components/armor/arm_ur_0015_rancor.iff	armor		
all	object/tangible/ship/components/booster/bst_corellian_advanced_thrust_enhancer.iff	booster		
all	object/tangible/ship/components/booster/bst_corellian_tuned_heavy_thrust_enhancer.iff	booster		
all	object/tangible/ship/components/booster/bst_incom_fynock.iff	booster		
all	object/tangible/ship/components/booster/bst_incom_intimidator_mk4.iff	booster		
all	object/tangible/ship/components/booster/bst_incom_supercharged_vynock.iff	booster		
all	object/tangible/ship/components/booster/bst_koensayr_advanced.iff	booster		
all	object/tangible/ship/components/booster/bst_koensayr_modified_heavy.iff	booster		
all	object/tangible/ship/components/booster/bst_koensayr_racer_mk2.iff	booster		
all	object/tangible/ship/components/booster/bst_kse_bti3.iff	booster		
all	object/tangible/ship/components/booster/bst_kse_enhanced_bti2.iff	booster		
all	object/tangible/ship/components/booster/bst_mandal_improved_jbj_mk3.iff	booster		
all	object/tangible/ship/components/booster/bst_mandal_jbj_mk4.iff	booster		
