strQuality	strItemName	commandSpeedModifier	hitpointsModifier	armorHitpointsModifier	energyMaintenanceModifier	massModifier	enabled	comments
s	s	f	f	f	f	f	Int[1]	s
all	object/tangible/ship/components/droid_interface/ddi_armek_military_grade_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_cygnus_di6.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_haor_chall_old_tech.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_incom_deluxe_droid_interface_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_incom_droid_interface_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kde_governor_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_koensayr_standard_droid_interface.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kse_improved_manager_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kse_manager_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_mandal_military_grade_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_moncal_special_dk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_novaldex_droid_interface_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_novaldex_special_droid_interface_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_qualdex_droid_interface_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_rss_enhanced_imperial_1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_rss_imperial_2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sds_imperial_1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_seinar_interface_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sfs_enhanced_imperial_1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sorosuub_rad_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_subpro_jrd33.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_freitek_modified_droid_commander_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_gallofree_level1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_haor_chall_vintage_piece.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_hk_mk1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_incom_fast_droid_interface_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kde_governor_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_kse_custom_manager_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_mission_reward_neutral_sorosuub_w19.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_mission_reward_rebel_moncal_d22.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_moncal_dk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_novaldex_droid_interface_mk3.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_qualdex_droid_interface_mk2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_rendili_imperator_1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_rss_deluxe_imperial_2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sds_imperial_2.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_sds_special_imperial_1.iff	0.2	0.2	0.2	0.2	0.2		
all	object/tangible/ship/components/droid_interface/ddi_seinar_interface_mk2.iff	0.2	0.2	0.2	0.2	0.2		
