id	Description	Object Template	Money	Once Per Account	Once Per Account Feature Id	Once Per Character	Can Trade In	Comment
s	s	s	i	b	b[0]	b	b[0]	c
dataterminal1	veteran_new:dataterminal1	object/tangible/veteran_reward/data_terminal_s1.iff	0	0		0		Once Per Account Feature Id specifies that the reward item is granted by a feature id but that feature id
dataterminal2	veteran_new:dataterminal2	object/tangible/veteran_reward/data_terminal_s2.iff	0	0		0		will only be set/granted once and it will have a value of 1 when set/granted which means in effect that an
dataterminal3	veteran_new:dataterminal3	object/tangible/veteran_reward/data_terminal_s3.iff	0	0		0		account will only ever be granted 1 such reward item
dataterminal4	veteran_new:dataterminal4	object/tangible/veteran_reward/data_terminal_s4.iff	0	0		0		
techconsole_a	veteran_new:techconsole_a	object/tangible/veteran_reward/frn_tech_console_sectional_a.iff	0	0		0		setting the Once Per Account Feature Id value to 1 will cause an in-game popup message letting the
techconsole_b	veteran_new:techconsole_b	object/tangible/veteran_reward/frn_tech_console_sectional_b.iff	0	0		0		player know that the reward item can only be claimed by 1 character on the account so that he does
techconsole_c	veteran_new:techconsole_c	object/tangible/veteran_reward/frn_tech_console_sectional_c.iff	0	0		0		not accidentally claim it using an unintended character
techconsole_d	veteran_new:techconsole_d	object/tangible/veteran_reward/frn_tech_console_sectional_d.iff	0	0		0		
mini_jabba	veteran_new:mini_jabba	object/tangible/veteran_reward/frn_vet_jabba_toy.iff	0	0		0		Can Trade In means the item can be destroyed and the account re-granted the account feature id
mini_stormtrooper	veteran_new:mini_stormtrooper	object/tangible/veteran_reward/frn_vet_stormtrooper_toy.iff	0	0		0		so that the item can be claimed again by a different (or same) character on the account
mini_r2	veteran_new:mini_r2	object/tangible/veteran_reward/frn_vet_r2_toy.iff	0	0		0		
mini_protocoldroid	veteran_new:mini_protocoldroid	object/tangible/veteran_reward/frn_vet_protocol_droid_toy.iff	0	0		0		
mini_xwing	veteran_new:mini_xwing	object/tangible/veteran_reward/frn_vet_x_wing_toy.iff	0	0		0		
mini_tiefighter	veteran_new:mini_tiefighter	object/tangible/veteran_reward/frn_vet_tie_fighter_toy.iff	0	0		0		
falconcouch	veteran_new:falconcouch	object/tangible/veteran_reward/frn_couch_falcon_corner_s01.iff	0	0		0		
