SHARED_TEMPLATE	PLAYER_TEMPLATE	SKILL_MOD_VALUE	AVAILABLE_AT_CREATION	SERVER_TEMPLATE	SERVER_PLAYER_TEMPLATE
s	s	i	b	s	s
object/tangible/hair/bothan/shared_hair_bothan_female_s01.iff	object/creature/player/shared_bothan_female.iff	12	0	object/tangible/hair/bothan/hair_bothan_female_s01.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s02.iff	object/creature/player/shared_bothan_female.iff	10	0	object/tangible/hair/bothan/hair_bothan_female_s02.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s03.iff	object/creature/player/shared_bothan_female.iff	1	1	object/tangible/hair/bothan/hair_bothan_female_s03.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s04.iff	object/creature/player/shared_bothan_female.iff	1	1	object/tangible/hair/bothan/hair_bothan_female_s04.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s05.iff	object/creature/player/shared_bothan_female.iff	1	1	object/tangible/hair/bothan/hair_bothan_female_s05.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s06.iff	object/creature/player/shared_bothan_female.iff	1	1	object/tangible/hair/bothan/hair_bothan_female_s06.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s07.iff	object/creature/player/shared_bothan_female.iff	8	0	object/tangible/hair/bothan/hair_bothan_female_s07.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s08.iff	object/creature/player/shared_bothan_female.iff	1	1	object/tangible/hair/bothan/hair_bothan_female_s08.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s09.iff	object/creature/player/shared_bothan_female.iff	8	0	object/tangible/hair/bothan/hair_bothan_female_s09.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s10.iff	object/creature/player/shared_bothan_female.iff	5	0	object/tangible/hair/bothan/hair_bothan_female_s10.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s11.iff	object/creature/player/shared_bothan_female.iff	1	1	object/tangible/hair/bothan/hair_bothan_female_s11.iff	object/creature/player/bothan_female.iff
object/tangible/hair/bothan/shared_hair_bothan_female_s12.iff	object/creature/player/shared_bothan_female.iff	1	1	object/tangible/hair/bothan/hair_bothan_female_s12.iff	object/creature/player/bothan_female.iff
