strType	strComments	fltCommandSpeedModifier	fltCommandSpeed	fltCurrentHitpoints	fltMaximumHitpoints	fltMaximumArmorHitpointsMod	fltMaximumArmorHitpoints	fltCurrentArmorHitpoints	fltEfficiency	fltEnergyMaintenanceModifier	fltEnergyMaintenance	fltMassModifier	fltMass	reverseEngineeringLevel
s	c	f	f	f	f	f	f	f	f	f	f	f	f	i
object/tangible/ship/components/droid_interface/ddi_armek_military_grade_mk1.iff	Do not edit.	0.05	34.5	150	150	0.05	75	75	1	0.05	500	0.05	500	1
object/tangible/ship/components/droid_interface/ddi_armek_military_grade_mk2.iff	Do not edit.	0.05	30	345	345	0.05	172.5	172.5	1	0.05	500	0.05	1250	3
object/tangible/ship/components/droid_interface/ddi_cygnus_di6.iff	Do not edit.	0.05	33.75	225	225	0.05	112.5	112.5	1	0.05	500	0.05	875	2
object/tangible/ship/components/droid_interface/ddi_cygnus_di8.iff	Do not edit.	0.05	19.125	952.2	952.2	0.05	476.1	476.1	1	0.05	500	0.05	5462.5	6
object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk1.iff	Do not edit.	0.05	30	345	345	0.05	172.5	172.5	1	0.05	500	0.05	1250	3
object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk2.iff	Do not edit.	0.05	19.125	952.2	952.2	0.05	476.1	476.1	1	0.05	500	0.05	5462.5	6
object/tangible/ship/components/droid_interface/ddi_freitek_droid_commander_mk3.iff	Do not edit.	0.05	13.5	1401.645	1401.645	0.05	700.8225	700.8225	1	0.05	500	0.05	13650	8
object/tangible/ship/components/droid_interface/ddi_freitek_elite.iff	Do not edit.	0.05	10.125	1650.57	1650.57	0.05	825.285	825.285	1	0.05	500	0.05	23500	10
object/tangible/ship/components/droid_interface/ddi_freitek_modified_droid_commander_mk1.iff	Do not edit.	0.05	29.25	517.5	517.5	0.05	258.75	258.75	1	0.05	500	0.05	2187.5	4
object/tangible/ship/components/droid_interface/ddi_gallofree_level1.iff	Do not edit.	0.05	24	634.8	634.8	0.05	317.4	317.4	1	0.05	500	0.05	3125	5
object/tangible/ship/components/droid_interface/ddi_haor_chall_old_tech.iff	Do not edit.	0.05	30	345	345	0.05	172.5	172.5	1	0.05	500	0.05	1250	3
object/tangible/ship/components/droid_interface/ddi_haor_chall_vintage_piece.iff	Do not edit.	0.05	29.25	517.5	517.5	0.05	258.75	258.75	1	0.05	500	0.05	2187.5	4
object/tangible/ship/components/droid_interface/ddi_hk_advanced.iff	Do not edit.	0.05	13.5	1100.38	1100.38	0.05	550.19	550.19	1	0.05	500	0.05	19500	9
object/tangible/ship/components/droid_interface/ddi_hk_elite.iff	Do not edit.	0.05	10.125	1650.57	1650.57	0.05	825.285	825.285	1	0.05	500	0.05	23500	10
object/tangible/ship/components/droid_interface/ddi_hk_mk1.iff	Do not edit.	0.05	24	634.8	634.8	0.05	317.4	317.4	1	0.05	500	0.05	3125	5
object/tangible/ship/components/droid_interface/ddi_hk_mk2.iff	Do not edit.	0.05	19.125	952.2	952.2	0.05	476.1	476.1	1	0.05	500	0.05	5462.5	6
object/tangible/ship/components/droid_interface/ddi_hk_mk3.iff	Do not edit.	0.05	16.5	934.43	934.43	0.05	467.215	467.215	1	0.05	500	0.05	7800	7
object/tangible/ship/components/droid_interface/ddi_hk_mk4.iff	Do not edit.	0.05	13.5	1401.645	1401.645	0.05	700.8225	700.8225	1	0.05	500	0.05	13650	8
object/tangible/ship/components/droid_interface/ddi_incom_advanced_droid_interface.iff	Do not edit.	0.05	13.5	1100.38	1100.38	0.05	550.19	550.19	1	0.05	500	0.05	19500	9
